Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Sale Type,Sale Condition
-29.552368,562842100.0,59.41722,70.729706,7961.771,6.4272447,5.1393843,1989.2483,1996.1565,83.61758,76.752205,44.441254,640.82794,758.74536,843.85345,865.67316,17.587265,1727.3558,0.063699126,0.03570837,1.8086749,1.0448234,3.2739842,0.94069403,7.120522,0.5093297,1993.3857,1.8805327,481.67032,92.8809,73.82652,5.7069607,-2.0739934,-1.8732154,6.614794,-149.45639,4.688695,2009.932,184236.28,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Fa,Detchd,Unf,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
70.183105,617745500.0,33.475925,77.53256,9230.489,6.3778434,7.0898185,1983.6691,2005.5121,84.52359,884.5728,52.893215,242.93408,1177.5961,1261.3243,62.213116,3.807762,1325.9731,0.9586771,0.02475252,1.5300003,0.10670722,2.5053754,1.0197083,5.906423,0.44581044,1987.8888,1.9465846,536.05005,237.11096,-3.233044,-25.510921,17.490788,-38.09959,11.581149,-27.045229,4.327803,2009.9092,202611.53,RM,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,Missing,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Missing,Missing,Missing,Missing,Missing,Y,Missing,Missing,Missing,WD ,Normal
-91.81213,541366140.0,62.87888,66.54069,5470.225,6.3947206,4.9515676,1992.8553,1996.5488,69.41028,38.98811,15.598935,746.765,798.09656,860.23236,720.2695,7.7196126,1588.4071,0.040821582,-0.004814367,1.8067783,0.9193388,3.0772927,0.9820129,6.7490873,0.34952843,1996.5145,1.8577513,474.7864,46.51619,80.10891,-0.92942834,-2.1023214,8.403001,-0.09217985,-68.73597,5.360553,2009.9998,173103.6,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Plywood,Missing,TA,Po,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Fa,Mod,Missing,Missing,Missing,Missing,Missing,Y,Missing,GdWo,Shed,WD ,Normal
-13.183105,540226500.0,24.455624,79.38009,11033.548,6.444585,5.182241,1992.2384,1989.115,187.66943,719.7757,71.820854,441.06897,1231.0957,1236.5109,80.72538,0.7513186,1317.1356,0.78576237,-0.09028357,1.3376659,0.46658376,2.2378159,0.8678595,5.517438,0.68630373,1988.4534,2.0332594,561.17126,138.61678,14.215015,4.611389,6.3054614,-7.515099,3.648854,-80.46403,2.6114223,2009.9325,202272.03,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Unf,TA,TA,Y,Missing,Missing,Missing,New,Partial
-62.656494,449830460.0,93.43941,50.090805,11433.728,6.3821387,4.966442,1994.9961,1989.249,91.46882,238.01878,1012.43524,65.316475,1304.6422,1333.1948,-84.52572,-18.347538,1234.8376,1.1964447,-0.06673904,1.301139,0.5451657,1.2723039,1.031836,4.497907,1.1198411,1989.6035,1.9030505,518.7552,121.500305,92.7412,-1.3995135,-17.40323,139.04594,-0.8403366,368.25208,5.8897443,2009.8666,186995.16,RL,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Missing,TA,TA,PConc,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Missing,Detchd,Unf,TA,TA,Y,Missing,MnPrv,Missing,WD ,Normal
165.1294,692224300.0,78.120155,101.75468,29917.916,8.7886505,5.5300446,1998.0104,2007.2477,488.2534,1352.4664,157.1623,139.23096,1637.4492,1850.4696,1433.5896,50.833214,3338.2598,1.0390489,0.22972754,2.6204607,1.5224842,4.2405014,1.1463865,11.145011,2.3609002,1997.958,3.6221824,1001.5185,302.0124,75.062485,-39.179066,-2.9428203,121.63288,-36.09507,148.61505,4.0380387,2009.7867,410003.8,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,Missing,Missing,Missing,New,Partial
55.20166,588536400.0,6.4687777,104.96309,13925.568,6.116207,7.3173127,1978.841,2007.1439,-4.3538623,481.97772,-6.937133,353.78186,827.8472,1107.335,668.95416,12.953222,1787.4172,0.44374576,0.057412308,1.9447875,0.4979002,3.941305,1.1225301,8.033792,0.3500207,1987.1466,2.4784477,671.7149,223.10156,3.5379407,-37.657066,3.8164928,-23.821747,28.242329,-283.47885,6.8609695,2009.8684,210409.94,RL,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,TA,Fa,PConc,TA,Fa,No,Rec,Unf,GasA,Ex,N,SBrkr,Fa,Typ,Missing,Missing,Missing,Missing,Missing,N,Missing,Missing,Missing,WD ,Normal
109.147705,526911300.0,37.700752,86.737564,15653.427,7.982724,2.8158352,2031.5685,1993.5052,394.28375,1388.2302,-22.50926,549.08563,1911.9617,1801.465,-8.54299,-0.31966624,1791.7375,1.2362096,-0.052358363,1.815436,0.57853097,2.0109599,0.92252374,6.2734647,1.1726129,2018.0181,3.1510582,888.9402,144.05353,48.06359,30.731857,2.2896283,1.814481,-14.502107,215.11775,4.3026276,2009.7119,302514.0,RL,Pave,Missing,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,Stucco,Missing,TA,TA,BrkTil,TA,TA,Mn,Unf,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,Fa,TA,N,Missing,Missing,Missing,WD ,Abnorml
205.00146,551330100.0,-13.971667,99.58212,15013.658,4.1372094,4.845563,1958.4595,1959.2035,16.294224,379.71448,-14.23809,485.2115,849.6027,1071.0469,-223.69801,29.634,876.8644,0.28255457,0.0027682416,0.91577846,0.03250004,2.5094793,1.0294011,5.057749,0.116921045,1963.3213,1.7617719,514.05035,-2.4138258,-27.077919,18.886477,-0.19614117,28.385399,14.752614,66.874,5.8202157,2009.6439,91092.41,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
72.76245,661841860.0,14.934384,88.759285,17283.443,6.8958497,6.1381135,1976.6829,1992.395,244.51685,867.3363,242.75674,627.1437,1732.4606,1785.4712,84.921745,6.4854765,1876.4985,0.9372674,0.037357245,1.7115338,0.16296445,3.0562255,1.0560087,7.398881,1.1177958,1976.9568,1.9664812,558.07697,248.61502,18.894976,-1.4879973,13.674295,-8.469398,1.8378167,-84.894615,1.721702,2009.9534,255895.58,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Missing,Attchd,RFn,TA,TA,Y,Missing,MnPrv,Missing,WD ,Normal
104.665405,588756700.0,2.1410494,93.118576,13234.577,6.7916183,5.2899446,1975.9512,1984.4592,282.79498,611.56775,-54.14086,1252.9136,1804.9845,1822.8899,-8.039358,-3.1914504,1811.5491,0.30385667,0.017531842,1.7014999,0.11043934,3.0831668,1.046513,7.3298573,0.86945426,1975.2501,1.6969163,493.95654,47.71766,74.33717,-11.234535,11.3639345,41.12932,12.838069,60.82699,0.6084007,2009.8003,231910.84,RL,Pave,Missing,IR1,Lvl,NoSeWa,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,GLQ,Rec,GasA,Gd,Y,FuseA,Gd,Typ,Gd,Basment,RFn,TA,TA,Y,Missing,Missing,Missing,COD,Abnorml
-93.57092,626624200.0,54.488537,76.37169,11846.334,6.1933117,5.6285434,1978.8589,1988.4961,164.96562,948.34503,162.35966,189.42612,1293.8484,1364.7771,195.72568,-0.025057651,1561.8083,1.083258,-0.031736176,1.458426,0.41501272,2.5003855,1.054289,6.2523336,0.8381696,1979.3094,1.6184134,457.5284,111.4436,68.213684,-14.136982,-0.9475638,45.266407,17.880009,-59.157387,2.02398,2010.1837,203627.78,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
-95.04407,596863000.0,75.93744,69.862274,6517.948,6.6421123,4.8916707,2001.3683,2000.5521,113.202866,578.28107,-39.965492,303.10202,838.6152,894.9583,754.4089,-7.688969,1641.8562,0.66237265,-0.1169468,1.7945553,0.9850381,2.8642657,0.99814034,6.662237,0.4862979,2001.5197,2.0750802,541.57605,75.46152,76.90822,-7.1683064,-12.700627,8.4745035,13.032678,-309.36032,3.292621,2010.0995,203153.02,FV,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
-78.1582,554478000.0,32.406616,74.44841,8434.205,5.6690207,6.497275,1963.4563,1981.0587,141.48003,686.65814,17.833656,347.90564,1049.0786,1139.1066,-68.444664,-2.2151425,1067.8059,0.6879547,-0.0812072,1.0157784,0.18074432,1.9717517,0.9742896,4.9631586,0.51825297,1967.706,1.7655659,500.58853,89.58987,-19.963707,15.5796,15.200187,32.706345,2.3032954,420.5809,3.4346182,2010.0652,154900.6,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
-20.517212,570198460.0,20.257458,81.68181,10046.643,5.719886,6.014207,1973.2036,1983.7993,106.00857,710.8781,25.033098,232.78476,967.39014,1065.0059,238.46683,-6.2086463,1295.9227,0.75878567,-0.07605755,1.2386124,0.4927771,2.6902483,0.9412255,5.874229,0.5590412,1973.887,1.7184855,473.2562,97.67253,19.178358,-10.54385,7.1389556,19.22015,-0.53980476,-65.004105,4.436411,2009.9862,170893.33,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Missing,MnPrv,Missing,WD ,Family
26.88379,724703360.0,21.285454,71.63676,6738.8,5.308848,5.409995,1951.127,1970.279,3.573056,806.20337,45.586113,285.4152,1135.913,1150.0913,88.44024,-6.5294127,1229.1167,0.9270164,-0.08945581,1.0186851,0.24005243,2.4842613,0.9301465,5.459433,0.49223948,1959.2174,1.1431613,338.77975,32.90035,79.74944,115.47211,5.6934695,-9.221778,13.069286,347.3409,7.128526,2010.0995,136178.61,RL,Pave,Missing,IR2,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,Missing,TA,TA,PConc,Gd,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Missing,Attchd,Unf,TA,TA,Y,Missing,MnPrv,Missing,WD ,Normal
29.47522,586149500.0,29.15845,79.02892,10665.934,4.764642,5.2960005,1975.7312,1974.453,43.935432,747.91473,99.31567,-35.564144,810.82495,948.2331,-117.80447,-0.9189676,828.79974,0.8779272,0.013095644,0.98226595,0.19482431,2.0957677,1.0088805,4.538941,0.20163354,1976.3037,1.7763087,495.4808,117.59236,-42.998154,5.4353924,1.8982565,-11.732474,9.84546,-72.26094,4.534169,2009.9688,117257.836,RL,Pave,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Shng,Missing,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,N,FuseA,Gd,Typ,Missing,Detchd,Unf,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
51.46472,581898900.0,24.103966,69.6222,7375.346,4.4102435,4.818575,1961.1101,1963.9904,43.23682,356.85797,38.151558,505.11813,897.7041,958.43195,-30.632376,14.867559,942.7254,0.34843096,0.05666752,0.9968791,0.2530581,2.6688194,0.9713155,5.14584,0.15042758,1963.2706,0.56513035,152.24635,6.009125,39.89917,-12.736725,13.102854,-9.311868,1.7487563,-194.64308,3.369589,2009.9161,82070.09,RM,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,Gd,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Missing,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
15.803711,664527040.0,101.53268,47.15339,4010.9883,6.979552,5.19315,2005.5737,2008.1575,125.519844,983.4919,70.16603,322.72238,1369.3368,1307.6558,23.525522,3.4521,1335.5712,1.1124879,0.03447121,1.7410976,0.2209886,1.7672825,1.0927757,5.298867,0.47015578,2008.3285,1.8772981,507.57315,133.68901,74.81721,-5.829836,8.43368,-4.0727735,-14.126397,253.24889,5.4208107,2010.0293,207208.6,RL,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
118.92493,547216800.0,146.39554,26.603249,-266.1094,5.57748,4.8536477,1978.8193,1977.6348,225.67503,185.39436,43.775795,240.6626,463.21704,472.04785,645.2159,3.1656027,1122.6178,0.16341081,0.10483913,1.2019968,1.0389041,1.9647157,1.0062506,4.956759,0.3601913,1981.4127,1.0999498,244.57591,91.4103,-28.786285,6.4145737,16.674992,-15.453946,-15.576594,303.60617,-0.30446112,2009.7228,104475.64,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Gd,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
90.924805,535813250.0,140.48225,33.887623,-384.4219,5.3295565,4.3885484,1977.9344,1972.7705,206.31757,240.7738,-29.104338,265.28635,470.79468,510.56293,739.1656,-4.294825,1247.2821,0.16840807,0.0778081,1.3211964,1.0938886,2.4414907,1.0988487,5.626864,0.27495313,1979.9326,1.0231389,225.30049,29.025078,1.1848143,-1.6431181,13.266875,-2.4926136,-13.5955715,249.97044,1.0281175,2009.7532,99547.02,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,Missing,TA,TA,CBlock,TA,TA,Mn,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,Gd,Attchd,Unf,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
84.2843,545437700.0,136.16951,31.57542,-1289.3857,5.402133,4.7072353,1971.1881,1973.0372,188.82576,24.355785,-6.8656683,449.38095,460.698,494.65967,759.9867,-6.505485,1249.8988,-0.0055083027,0.023043536,1.3036964,1.0788361,2.4615676,1.0793997,5.655776,0.27995485,1975.431,0.9567683,204.71623,5.951554,7.8234444,9.127376,12.244654,10.10594,-18.278036,299.18027,1.0236014,2009.7582,95852.016,RL,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,2fmCon,1.5Fin,Gable,CompShg,Plywood,Plywood,Missing,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,N,SBrkr,TA,Typ,Missing,Detchd,Unf,TA,TA,Y,Missing,MnPrv,Missing,WD ,Normal
